grid_id,segment_count,total_length_m
1070,374,122249.35375320127
1071,208,67619.64946629918
1072,346,116117.87403114304
1073,300,93666.39104733025
1074,531,184680.4345470683
1075,421,149372.51723117742
1076,372,120944.169573214
1077,387,123005.80265430939
1078,315,101037.15808845725
1079,373,117060.98055969704
1080,431,138106.3264841226
1081,392,132056.0202767035
1082,506,170899.92981034316
1083,543,209876.60843328107
1084,600,194280.9944792147
1085,655,165521.9917835507
1086,354,129624.91461182803
1087,378,129915.54100206864
1088,363,98012.95232503311
1089,343,95725.0273091357
1090,158,35549.386346814776
1091,54,20611.85660350618
1092,30,10518.979669256889
1093,11,3219.8201500234686
1094,37,12898.903896049495
1095,28,12151.203019258739
1096,69,18384.787392240505
1097,0,0.0
1098,2,1055.2830435960595
1099,17,4796.828259617387
1100,39,15312.04956824168
1101,233,66540.87921391994
1102,369,125962.47940036916
1103,219,84245.69936472441
1104,177,56656.81252372155
1105,359,139929.61268581054
1106,361,129730.11686201936
1107,402,132788.67189320005
1108,458,143339.14546626376
1109,275,90800.90885142567
1110,426,125286.76411727956
1111,484,149287.9119018307
1112,776,221775.5406416575
1113,751,211592.77957668874
1114,761,230552.77505412756
1115,817,229420.1125755084
1116,1081,271619.72771100444
1117,864,253196.7805925129
1118,789,213540.0228883619
1119,497,155289.17818165853
1120,294,107006.55887736601
1121,549,160284.30370621287
1122,372,110448.97232429971
1123,761,199536.10975685384
1124,581,179989.42149192744
1125,638,174026.8216994708
1126,646,181079.66091392346
1127,413,116375.59963706834
1128,423,128537.41224579676
1129,638,198221.3867469861
1130,426,140953.19232211533
1131,518,170676.3332884594
1132,677,236017.44350657656
1133,505,161855.61624797853
1134,399,128233.42538965995
1135,254,94529.34818936388
1136,402,118318.95677229564
1137,460,138738.33922673936
1138,307,95214.89157343942
1139,275,65525.90603342902
1140,65,24444.584366361632
1141,95,26064.63170984131
1142,39,7034.493059725905
1143,59,13335.94077945608
1144,16,4879.611167872883
1145,42,17067.684437923173
1146,22,2056.8060556714427
1147,2,1055.2830435961473
1148,0,0.0
1149,44,10966.752168777719
1150,194,54297.86767241299
1151,186,52583.93136841306
1152,224,65643.08131051819
1153,196,64890.17351031216
1154,460,140183.01096050232
1155,408,118081.68565103244
1156,502,163167.39023707598
1157,521,159756.62088920883
1158,354,98830.63185861237
1159,318,99979.19992688802
1160,414,124713.4680712865
1161,585,173272.58418522467
1162,532,175145.70480126087
1163,529,173907.82665402477
1164,507,164083.42890958203
1165,657,208398.87728279908
1166,468,144984.11805795517
1167,370,127523.21274538309
1168,269,86453.31290861825
1169,192,64639.489879875255
1170,270,80783.96034498731
1171,178,55403.23948623286
1172,239,66175.42784349615
1173,285,91688.82721290547
1174,333,110092.46471122053
1175,437,151571.17224650038
1176,331,102513.58128288538
1177,424,136762.5230341345
1178,670,205200.73437946022
1179,426,140054.9106751943
1180,547,167365.7590685492
1181,923,252696.38330089874
1182,703,221057.18617850597
1183,422,126207.35178633737
1184,311,101914.34357707234
1185,362,104888.23450274316
1186,541,144622.87579688127
1187,192,54072.10322908462
1188,203,60994.964342991196
1189,140,44485.161356220124
1190,102,38355.306398315886
1191,52,16805.259389329505
1192,33,11132.467657905543
1193,22,7198.9161467532995
1194,12,3260.873471968706
1195,64,10665.638537538522
1196,5,945.1699186539614
1197,3,679.8125152718509
1198,1,505.2462797776035
1199,75,12605.797040664693
1200,138,43355.70994569378
1201,170,49511.12250823159
1202,123,36165.786176363144
1203,186,55748.098098468436
1204,385,115611.14811965842
1205,392,118706.0888013877
1206,447,143414.01505187436
1207,588,166663.7889696184
1208,278,92639.35606520325
1209,282,103176.40576850703
1210,404,129739.7518563348
1211,460,142243.36585678984
1212,412,137116.92872263957
