osm_id,name,fclass,grid_id,length_m,length_km
236167831,,residential,1532,341.03228558865726,0.341032285588657
236167832,升旗台环岛,residential,1531,209.49037254362275,0.209490372543623
236167834,,residential,1531,240.51240376507235,0.240512403765072
236167834,,residential,1532,240.51240376507235,0.240512403765072
236167835,中和路,service,1475,568.8694938262009,0.568869493826201
236167835,中和路,service,1532,568.8694938262009,0.568869493826201
236167836,,residential,1419,533.9479123604154,0.533947912360415
236167836,,residential,1420,533.9479123604154,0.533947912360415
236167857,,secondary_link,1417,308.6796975851389,0.308679697585139
236167857,,secondary_link,1418,308.6796975851389,0.308679697585139
236407974,,trunk_link,2097,308.3473489384883,0.308347348938488
236407976,,trunk_link,2097,256.3772523673004,0.2563772523673
236602320,,primary_link,1602,248.77288454123914,0.248772884541239
236602320,,primary_link,1546,248.77288454123914,0.248772884541239
236602321,,secondary_link,1545,191.64813729685616,0.191648137296856
236602323,,trunk_link,1545,221.1411847993854,0.221141184799385
236602323,,trunk_link,1546,221.1411847993854,0.221141184799385
236604973,,trunk,1546,20.81374092841487,0.020813740928415
236605183,,service,1659,189.73017826678122,0.189730178266781
236605183,,service,1660,189.73017826678122,0.189730178266781
236608001,韩森路,secondary,1653,795.7572826542025,0.795757282654203
236608001,韩森路,secondary,1596,795.7572826542025,0.795757282654203
236608001,韩森路,secondary,1540,795.7572826542025,0.795757282654203
236608002,,secondary_link,1540,85.3552394396669,0.085355239439667
236608003,,secondary,1540,37.32736112503175,0.037327361125032
236610827,,secondary_link,1545,60.394009305775526,0.060394009305776
236610827,,secondary_link,1546,60.394009305775526,0.060394009305776
236613722,,unclassified,1489,181.8529952009895,0.18185299520099
236613722,,unclassified,1490,181.8529952009895,0.18185299520099
236613726,,service,1546,199.26805115198107,0.199268051151981
236613726,,service,1547,199.26805115198107,0.199268051151981
236613727,,residential,1377,256.4728707694858,0.256472870769486
236614372,,residential,1661,359.0727959980551,0.359072795998055
236614447,,residential,1718,622.5866479939958,0.622586647993996
236614447,,residential,1719,622.5866479939958,0.622586647993996
236614826,,residential,1719,277.96713746802664,0.277967137468027
236614827,,residential,1718,539.5428017253832,0.539542801725383
236614827,,residential,1719,539.5428017253832,0.539542801725383
236614964,,residential,1719,246.90399864051923,0.246903998640519
236672202,西安绕城高速,motorway,2274,31.220435820914123,0.031220435820914
236672203,西安绕城高速,motorway,2274,30.465128265717066,0.030465128265717
236672204,西安绕城高速,motorway,2274,122.86471664913768,0.122864716649138
236672205,西安绕城高速,motorway,2274,61.64846792213838,0.061648467922138
236672205,西安绕城高速,motorway,2275,61.64846792213838,0.061648467922138
236672206,西安绕城高速,motorway,2274,109.1091574996463,0.109109157499646
236672207,西安绕城高速,motorway,2274,267.27800084703415,0.267278000847034
236672207,西安绕城高速,motorway,2336,267.27800084703415,0.267278000847034
236672207,西安绕城高速,motorway,2275,267.27800084703415,0.267278000847034
236672208,西安绕城高速,motorway,2274,66.11871761477602,0.066118717614776
236672209,西安绕城高速,motorway,2274,243.33685859590946,0.243336858595909
236672220,,service,2274,525.8156989396903,0.52581569893969
236672220,,service,2214,525.8156989396903,0.52581569893969
236672268,弘知路,tertiary,2612,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2613,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2558,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2559,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2503,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2560,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2446,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2447,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2391,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2331,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2392,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2332,4612.535027446376,4.612535027446376
236672268,弘知路,tertiary,2271,4612.535027446376,4.612535027446376
236672580,白鹿西路北段,tertiary,2503,2228.896175785562,2.228896175785562
236672580,白鹿西路北段,tertiary,2504,2228.896175785562,2.228896175785562
236672580,白鹿西路北段,tertiary,2561,2228.896175785562,2.228896175785562
236672580,白鹿西路北段,tertiary,2562,2228.896175785562,2.228896175785562
236672580,白鹿西路北段,tertiary,2563,2228.896175785562,2.228896175785562
236672580,白鹿西路北段,tertiary,2618,2228.896175785562,2.228896175785562
236672580,白鹿西路北段,tertiary,2619,2228.896175785562,2.228896175785562
236712942,招远门路,tertiary,1507,2279.3577923481357,2.279357792348136
236712942,招远门路,tertiary,1451,2279.3577923481357,2.279357792348136
236712942,招远门路,tertiary,1397,2279.3577923481357,2.279357792348136
236712942,招远门路,tertiary,1564,2279.3577923481357,2.279357792348136
236712942,招远门路,tertiary,1452,2279.3577923481357,2.279357792348136
236712942,招远门路,tertiary,1620,2279.3577923481357,2.279357792348136
236823671,,tertiary,837,890.1356567871574,0.890135656787157
236823671,,tertiary,838,890.1356567871574,0.890135656787157
236823672,,unclassified,739,629.1962851990154,0.629196285199015
236823672,,unclassified,740,629.1962851990154,0.629196285199015
236823672,,unclassified,741,629.1962851990154,0.629196285199015
236823673,,tertiary,783,1467.6440870588644,1.467644087058865
236823673,,tertiary,735,1467.6440870588644,1.467644087058865
236823673,,tertiary,784,1467.6440870588644,1.467644087058865
236823673,,tertiary,785,1467.6440870588644,1.467644087058865
236823673,,tertiary,786,1467.6440870588644,1.467644087058865
236823674,,unclassified,834,1491.8623183156005,1.491862318315601
236823674,,unclassified,835,1491.8623183156005,1.491862318315601
236823674,,unclassified,836,1491.8623183156005,1.491862318315601
236823674,,unclassified,837,1491.8623183156005,1.491862318315601
236844327,丰禾路西口人行天桥,footway,587,74.08314637823668,0.074083146378237
236844328,土门文化宫人行天桥,footway,584,56.7688048977616,0.056768804897762
237065467,西安绕城高速,motorway,2237,805.0409068656477,0.805040906865648
237065467,西安绕城高速,motorway,2180,805.0409068656477,0.805040906865648
237065467,西安绕城高速,motorway,2181,805.0409068656477,0.805040906865648
237065472,西安绕城高速,motorway,2237,483.0230272312231,0.483023027231223
237065472,西安绕城高速,motorway,2297,483.0230272312231,0.483023027231223
237068110,北宫东路,tertiary,451,1835.4352604824305,1.83543526048243
237068110,北宫东路,tertiary,452,1835.4352604824305,1.83543526048243
237068110,北宫东路,tertiary,453,1835.4352604824305,1.83543526048243
237068110,北宫东路,tertiary,454,1835.4352604824305,1.83543526048243
237068110,北宫东路,tertiary,455,1835.4352604824305,1.83543526048243
237068111,,unclassified,600,756.6555172979969,0.756655517297997
237068111,,unclassified,601,756.6555172979969,0.756655517297997
237068111,,unclassified,602,756.6555172979969,0.756655517297997
237068481,,residential,649,165.7228556165765,0.165722855616577
237068482,,unclassified,650,669.9943014906322,0.669994301490632
237068482,,unclassified,602,669.9943014906322,0.669994301490632
237068967,草滩八路,primary,457,2454.056836074726,2.454056836074726
237068967,草滩八路,primary,458,2454.056836074726,2.454056836074726
237068967,草滩八路,primary,414,2454.056836074726,2.454056836074726
237068967,草滩八路,primary,459,2454.056836074726,2.454056836074726
237068967,草滩八路,primary,415,2454.056836074726,2.454056836074726
237068967,草滩八路,primary,416,2454.056836074726,2.454056836074726
237068967,草滩八路,primary,417,2454.056836074726,2.454056836074726
237069233,,residential,456,692.3902477993906,0.692390247799391
237069233,,residential,503,692.3902477993906,0.692390247799391
237069234,,unclassified,551,1102.5885080907583,1.102588508090758
237069234,,unclassified,504,1102.5885080907583,1.102588508090758
237069234,,unclassified,552,1102.5885080907583,1.102588508090758
237069234,,unclassified,553,1102.5885080907583,1.102588508090758
237069235,,residential,502,756.3753445179451,0.756375344517945
237069235,,residential,503,756.3753445179451,0.756375344517945
237069235,,residential,504,756.3753445179451,0.756375344517945
237069236,,residential,456,188.78576128342434,0.188785761283424
237069237,,unclassified,502,1130.1614699091251,1.130161469909125
237069237,,unclassified,503,1130.1614699091251,1.130161469909125
237069237,,unclassified,457,1130.1614699091251,1.130161469909125
237069237,,unclassified,504,1130.1614699091251,1.130161469909125
237069238,,residential,456,455.0838538507272,0.455083853850727
237069238,,residential,503,455.0838538507272,0.455083853850727
237069239,,residential,503,248.2309649560583,0.248230964956058
237069239,,residential,552,248.2309649560583,0.248230964956058
237069328,,residential,549,1423.8682549176556,1.423868254917656
237069328,,residential,550,1423.8682549176556,1.423868254917656
237069328,,residential,551,1423.8682549176556,1.423868254917656
237069328,,residential,552,1423.8682549176556,1.423868254917656
237069329,,unclassified,596,1885.1469725177558,1.885146972517756
237069329,,unclassified,597,1885.1469725177558,1.885146972517756
237069329,,unclassified,598,1885.1469725177558,1.885146972517756
237069329,,unclassified,599,1885.1469725177558,1.885146972517756
237069329,,unclassified,600,1885.1469725177558,1.885146972517756
237069873,,residential,788,913.010532749078,0.913010532749078
237069873,,residential,836,913.010532749078,0.913010532749078
237069873,,residential,740,913.010532749078,0.913010532749078
237069874,,residential,787,626.2942550047276,0.626294255004728
237069874,,residential,788,626.2942550047276,0.626294255004728
237069874,,residential,740,626.2942550047276,0.626294255004728
237069874,,residential,741,626.2942550047276,0.626294255004728
237069875,,residential,741,237.49431954085637,0.237494319540856
237069876,,unclassified,693,1809.6716474819605,1.809671647481961
237069876,,unclassified,694,1809.6716474819605,1.809671647481961
237069876,,unclassified,695,1809.6716474819605,1.809671647481961
