grid_id,centroid_x,centroid_y,nearest_metro_distance,nearest_metro_name,nearest_bus_distance,nearest_bus_name
1135,34462.99661601597,3813520.015138603,249.4111684806505,行政中心,52.38109593381442,行政中心
1136,34462.99661601597,3814020.015138603,521.2810526242237,凤城十路,91.89541628477767,城市运动公园
1137,34462.99661601597,3814520.015138603,74.9653970872189,凤城十路,61.50238246559449,未央路凤城十路口
1138,34462.99661601597,3815020.015138603,489.39318108844776,凤城十路,247.302977562331,凤城北路中段
1139,34462.99661601597,3815520.015138603,129.30233197995375,北苑,248.00675269130033,北苑站
1140,34462.99661601597,3816020.015138603,417.25743306342974,北苑,286.185893315037,公交站_557
1141,34462.99661601597,3816520.015138603,911.8598784012328,北苑,223.42293395853417,文景路元朔路口
1142,34462.99661601597,3817020.015138603,650.1840842029212,西安北,214.09868455648416,西安北站南广场
1143,34462.99661601597,3817520.015138603,534.1899388516431,文景山公园,313.13704621674515,文景山公园
1144,34462.99661601597,3818020.015138603,601.8457487470872,文景山公园,122.67307831398057,文景山公园
1145,34462.99661601597,3818520.015138603,594.8363972785307,红会医院北区,510.4577630885155,尚稷路东段
1146,34462.99661601597,3819020.015138603,134.16444128082395,红会医院北区,167.47013152982592,尚稷路东段
1147,34462.99661601597,3819520.015138603,426.81360695400673,红会医院北区,543.6224443599651,尚稷路东段
1148,34462.99661601597,3820020.015138603,919.96718031568,红会医院北区,1031.0210856569277,尚稷路东段
1149,34962.99661601597,3796020.015138603,1180.2325133730853,大唐不夜城,1181.5004950701345,雁塔南路雁南四路口
1150,34962.99661601597,3796520.015138603,694.7106284372347,大唐不夜城,688.1455404550784,雁塔南路雁南四路口
1151,34962.99661601597,3797020.015138603,268.8808823705494,大唐不夜城,220.38419876199353,雁塔南路雁南四路口
1152,34962.99661601597,3797520.015138603,402.45620947510895,大唐不夜城,318.7030645479258,雁塔南路雁南四路口
1153,34962.99661601597,3798020.015138603,543.6316018003442,唐城墙遗址公园西,269.4477446229544,雁塔南路雁南三路口
1154,34962.99661601597,3798520.015138603,707.6667462372276,唐城墙遗址公园西,406.8559354251777,公交站_177
1155,34962.99661601597,3799020.015138603,948.2965360872915,大雁塔北广场,152.19521938149373,大雁塔南广场
1156,34962.99661601597,3799520.015138603,617.7288882226039,大雁塔北广场,48.015477289308016,公交站_185
1157,34962.99661601597,3800020.015138603,363.61404562093327,大雁塔,54.031676471523355,大雁塔北广场
1158,34962.99661601597,3800520.015138603,564.99604919624,大雁塔,197.4458483947481,翠华路育才路口
1159,34962.99661601597,3801020.015138603,452.2613202006577,西安科技大学,103.73605099403792,南二环雁塔立交西
1160,34962.99661601597,3801520.015138603,478.8340155331396,西安科技大学,136.75603435996717,三二三医院
1161,34962.99661601597,3802020.015138603,351.2438997127976,文艺路,136.7490362095357,友谊路测绘西路口
