i_id,运营公司id,共享单车编号,经度,纬度,获取时间
36434921,4312,10200326,108.96991055741374,34.25443164220796,2025-08-08 07:07:59
36437616,4312,10200326,108.97015442533224,34.2552987792775,2025-08-08 07:10:08
36441497,4312,10200326,108.97016706277569,34.25345034711744,2025-08-08 07:12:16
36442425,4312,10200326,108.96901669623531,34.253722034639665,2025-08-08 07:14:24
36444832,4312,10200326,108.9701639337865,34.25392590534582,2025-08-08 07:16:32
36447235,4312,10200326,108.97032959819822,34.25396903703339,2025-08-08 07:18:40
36451126,4312,10200326,108.96881676370457,34.254194144916205,2025-08-08 07:20:48
36452042,4312,10200326,108.96864965390762,34.25342108065938,2025-08-08 07:22:56
36454345,4312,10200326,108.96918162391752,34.25284096240212,2025-08-08 07:25:04
36457044,4312,10200326,108.9700455644909,34.25356377351708,2025-08-08 07:27:13
36460921,4312,10200326,108.97043813043894,34.2534230471468,2025-08-08 07:29:20
36461853,4312,10200326,108.97044037095604,34.25345347211891,2025-08-08 07:31:28
36465707,4312,10200326,108.9717084031284,34.253758625868166,2025-08-08 07:33:36
36466664,4312,10200326,108.97212159582642,34.25436006027781,2025-08-08 07:35:45
36468794,4312,10200326,108.97242578541736,34.25497865017959,2025-08-08 07:37:53
36471476,4312,10200326,108.97279765901013,34.25543596208151,2025-08-08 07:40:00
36473879,4312,10200326,108.97363747326315,34.2554824541058,2025-08-08 07:42:09
36476477,4312,10200326,108.9741316212193,34.25411003720284,2025-08-08 07:44:17
36478659,4312,10200326,108.97356106856296,34.254259570722944,2025-08-08 07:46:25
36481287,4312,10200326,108.97309839336395,34.25392914237403,2025-08-08 07:48:33
36483409,4312,10200326,108.9743553840791,34.25440818958039,2025-08-08 07:50:41
36486098,4312,10200326,108.972976164231,34.25449618243356,2025-08-08 07:52:50
36489988,4312,10200326,108.9739803956329,34.25467242840924,2025-08-08 07:54:57
36490909,4312,10200326,108.97385167370707,34.25462865625456,2025-08-08 07:57:06
36493038,4312,10200326,108.97520375379852,34.254272924236325,2025-08-08 07:59:14
36495716,4312,10200326,108.97501956221964,34.25535315280472,2025-08-08 08:01:22
36499612,4312,10200326,108.97532329591336,34.2547227990414,2025-08-08 08:03:30
36500716,4312,10200326,108.97544985209684,34.25486767021547,2025-08-08 08:05:38
36504382,4312,10200326,108.97529334485476,34.255832264773204,2025-08-08 08:07:47
36505524,4312,10200326,108.97632553977373,34.25640158293015,2025-08-08 08:09:54
36509394,4312,10200326,108.97568837990804,34.25708973945043,2025-08-08 08:12:03
36510332,4312,10200326,108.97599072646337,34.256751191780495,2025-08-08 08:14:11
36514201,4312,10200326,108.97574658655252,34.2563523758186,2025-08-08 08:16:19
36515140,4312,10200326,108.97508077053838,34.25706565022467,2025-08-08 08:18:27
36517468,4312,10200326,108.97387744683766,34.257468541876534,2025-08-08 08:20:35
36519950,4312,10200326,108.97314279320234,34.25778647526735,2025-08-08 08:22:43
36524050,4312,10200326,108.97322343469833,34.2586288214531,2025-08-08 08:24:52
36524956,4312,10200326,108.9734930445192,34.25774897696932,2025-08-08 08:27:00
36528579,4312,10200326,108.97365927047288,34.25699496161567,2025-08-08 08:29:08
36529762,4312,10200326,108.973904664112,34.25762943729664,2025-08-08 08:31:16
36532165,4312,10200326,108.97437614737278,34.25746519127161,2025-08-08 08:33:24
36534569,4312,10200326,108.97421179302744,34.256746708306075,2025-08-08 08:35:32
36536961,4312,10200326,108.97500755839248,34.2565556887785,2025-08-08 08:37:40
36539374,4312,10200326,108.97561140488048,34.25799937691013,2025-08-08 08:39:49
36541765,4312,10200326,108.97706244400028,34.258562942455164,2025-08-08 08:41:57
36544180,4312,10200326,108.97908306971084,34.258301785378805,2025-08-08 08:44:05
36546563,4312,10200326,108.97981884263118,34.25799041470835,2025-08-08 08:46:13
36549179,4312,10200326,108.9798342054372,34.258297124285285,2025-08-08 08:48:22
36551285,4312,10200326,108.97986871037357,34.25826217191352,2025-08-08 08:50:30
36553986,4312,10200326,108.98000060933865,34.25823483202097,2025-08-08 08:52:42
36557854,4312,10200326,108.97951690695304,34.25656536157954,2025-08-08 08:54:50
36558792,4312,10200326,108.97929206056374,34.25664972112714,2025-08-08 08:57:02
36561194,4312,10200326,108.97849615821654,34.2556077342545,2025-08-08 08:59:11
36563598,4312,10200326,108.97890571716016,34.25541420854928,2025-08-08 09:01:22
36567494,4312,10200326,108.98024408701151,34.254753256170275,2025-08-08 09:03:39
36568402,4312,10200326,108.98018457744703,34.25335214526591,2025-08-08 09:05:48
36570999,4312,10200326,108.9799998919778,34.25452112440605,2025-08-08 09:07:55
36573402,4312,10200326,108.980321574719,34.254708402411964,2025-08-08 09:10:07
36575782,4312,10200326,108.9811372153089,34.25494959589475,2025-08-08 09:12:15
36578209,4312,10200326,108.98116998776209,34.25507615548162,2025-08-08 09:14:24
36580318,4312,10200326,108.9807851376932,34.254752092811,2025-08-08 09:16:35
36583019,4312,10200326,108.980504968389,34.25481003427663,2025-08-08 09:18:43
36586896,4312,10200326,108.98023079340904,34.254493260993854,2025-08-08 09:20:51
36587830,4312,10200326,108.98110483827776,34.25405678738207,2025-08-08 09:25:10
36591712,4312,10200326,108.97988645655522,34.25339285087704,2025-08-08 09:27:19
36592638,4312,10200326,108.98053787282348,34.253376442757265,2025-08-08 09:29:27
36594977,4312,10200326,108.9826758951972,34.25356345588829,2025-08-08 09:33:46
36597638,4312,10200326,108.98309233141772,34.253250148668684,2025-08-08 09:35:56
36600009,4312,10200326,108.9839694490054,34.25422787743166,2025-08-08 09:38:04
36602445,4312,10200326,108.98342971102694,34.25407100983878,2025-08-08 09:40:13
36604573,4312,10200326,108.983963162239,34.2545070463436,2025-08-08 09:42:20
36607250,4312,10200326,108.98317538968791,34.25450340231528,2025-08-08 09:44:30
36611142,4312,10200326,108.98229541064136,34.255425182409915,2025-08-08 09:46:48
36612055,4312,10200326,108.9813924521114,34.25569081901049,2025-08-08 09:48:56
36614392,4312,10200326,108.98106925386736,34.256297282741485,2025-08-08 09:51:07
36617055,4312,10200326,108.97993350065084,34.25677930316836,2025-08-08 09:53:22
36619447,4312,10200326,108.97802209153257,34.25775314204593,2025-08-08 09:55:30
36621859,4312,10200326,108.97898033411973,34.25847475380695,2025-08-08 09:57:42
36624242,4312,10200326,108.97986881062975,34.25892725049898,2025-08-08 09:59:50
36626665,4312,10200326,108.9789878310532,34.25932964265873,2025-08-08 10:01:59
36628810,4312,10200326,108.97929997491536,34.259393717565025,2025-08-08 10:06:21
36631473,4312,10200326,108.98001289503034,34.25975790635247,2025-08-08 10:08:30
36633552,4312,10200326,108.98023280893688,34.25927745829928,2025-08-08 10:10:38
36636279,4312,10200326,108.97929226286898,34.25817923766692,2025-08-08 10:12:46
36640125,4312,10200326,108.98048368752336,34.25889046557759,2025-08-08 10:14:55
36641279,4312,10200326,108.97955941946466,34.25889140701328,2025-08-08 10:17:06
36643685,4312,10200326,108.97966898335817,34.259368285654595,2025-08-08 10:19:15
36646091,4312,10200326,108.98088468413684,34.2601237510758,2025-08-08 10:21:23
36648214,4312,10200326,108.98164279589716,34.25989122523186,2025-08-08 10:23:34
36650897,4312,10200326,108.98267099572848,34.260109573998164,2025-08-08 10:25:43
36654787,4312,10200326,108.98213251633835,34.258813824342106,2025-08-08 10:27:54
36655704,4312,10200326,108.98158046113372,34.25890827955337,2025-08-08 10:30:02
36658079,4312,10200326,108.9811225224057,34.25820170756682,2025-08-08 10:32:14
36660507,4312,10200326,108.9815285128536,34.258621065149086,2025-08-08 10:34:21
36662849,4312,10200326,108.98152922330554,34.25786371892006,2025-08-08 10:36:31
36665507,4312,10200326,108.98220787180918,34.25720600819075,2025-08-08 10:38:40
36667671,4312,10200326,108.9829489457597,34.257096988183925,2025-08-08 10:40:49
36670312,4312,10200326,108.98284003010671,34.257969047127354,2025-08-08 10:42:59
36672474,4312,10200326,108.98294452195351,34.257535880260164,2025-08-08 10:45:08
36675117,4312,10200326,108.98213958045274,34.25734197499928,2025-08-08 10:47:24
36677222,4312,10200326,108.98159566262116,34.25774192112124,2025-08-08 10:49:32
36679925,4312,10200326,108.98124883512656,34.25765811324357,2025-08-08 10:51:40
36683796,4312,10200326,108.98168741220572,34.25779646606725,2025-08-08 10:53:49
36684733,4312,10200326,108.98283027787464,34.25806349958266,2025-08-08 10:55:59
36687327,4312,10200326,108.98355848068644,34.257745165364604,2025-08-08 10:58:07
36689729,4312,10200326,108.98201157859434,34.25810892589583,2025-08-08 11:00:19
36692118,4312,10200326,108.9822315524573,34.257987556966256,2025-08-08 11:02:30
36694535,4312,10200326,108.980809763328,34.258076735417724,2025-08-08 11:04:39
36696695,4312,10200326,108.98144941989118,34.25672669971164,2025-08-08 11:06:49
36699343,4312,10200326,108.98068831488771,34.25631611846957,2025-08-08 11:08:58
36701419,4312,10200326,108.97995291519123,34.25576897478477,2025-08-08 11:11:09
36704152,4312,10200326,108.97940948449364,34.25518429996771,2025-08-08 11:13:17
36707996,4312,10200326,108.97867563623852,34.25373280099839,2025-08-08 11:15:26
36708960,4312,10200326,108.97739576490532,34.25255633238699,2025-08-08 11:17:36
36712786,4312,10200326,108.97781500945992,34.253422800692576,2025-08-08 11:19:45
36713958,4312,10200326,108.97628216630048,34.25342235206295,2025-08-08 11:21:53
36716362,4312,10200326,108.97732296138196,34.25311442872172,2025-08-08 11:24:05
36718763,4312,10200326,108.97678268752811,34.25309721329694,2025-08-08 11:26:13
36721143,4312,10200326,108.97840592402366,34.25249231312113,2025-08-08 11:28:21
36723570,4312,10200326,108.97817454855826,34.252278885078816,2025-08-08 11:30:30
36725672,4312,10200326,108.98102934945452,34.25259094703852,2025-08-08 11:32:39
36728378,4312,10200326,108.98471540533993,34.253135638898456,2025-08-08 11:34:46
36730784,4312,10200326,108.98271800714046,34.25285972138853,2025-08-08 11:36:55
36733379,4312,10200326,108.98227509183944,34.25366601734361,2025-08-08 11:39:04
36735576,4312,10200326,108.98325258243663,34.25447092588008,2025-08-08 11:41:11
36738186,4312,10200326,108.9847961779567,34.25357065592077,2025-08-08 11:43:19
36740335,4312,10200326,108.98414382356091,34.25389801870799,2025-08-08 11:45:28
36742990,4312,10200326,108.98417207723958,34.25347664695821,2025-08-08 11:47:36
36745053,4312,10200326,108.98471114554042,34.25380813165884,2025-08-08 11:49:45
36747799,4312,10200326,108.98470769305877,34.25383532759786,2025-08-08 11:51:53
36750202,4312,10200326,108.98462982201052,34.25376024063012,2025-08-08 11:54:01
36752607,4312,10200326,108.98418177509144,34.25435432380425,2025-08-08 11:56:09
36754993,4312,10200326,108.98403714913955,34.25407565786466,2025-08-08 11:58:17
36757611,4312,10200326,108.98307808325046,34.254440210820945,2025-08-08 12:00:26
36759762,4312,10200326,108.98233126948442,34.256148317754715,2025-08-08 12:02:33
36762420,4312,10200326,108.98310303681195,34.25672997981577,2025-08-08 12:04:41
36764542,4312,10200326,108.98177569945572,34.256635771183724,2025-08-08 12:06:50
36767227,4312,10200326,108.98226664715035,34.25723124547891,2025-08-08 12:08:59
36771111,4312,10200326,108.98230419170322,34.25740486040349,2025-08-08 12:11:06
36772031,4312,10200326,108.98110165885804,34.2569635815767,2025-08-08 12:13:14
36774358,4312,10200326,108.97906948388338,34.25690065266528,2025-08-08 12:15:22
36776833,4312,10200326,108.98039975609724,34.25667443049109,2025-08-08 12:17:30
36780926,4312,10200326,108.98158760389067,34.256548859076425,2025-08-08 12:19:39
36781832,4312,10200326,108.98238576618624,34.25654811804344,2025-08-08 12:21:46
36785494,4312,10200326,108.9823721463982,34.257520580292066,2025-08-08 12:23:54
36786641,4312,10200326,108.9822524872024,34.25672177520837,2025-08-08 12:26:03
36789046,4312,10200326,108.98284738998258,34.256181191311136,2025-08-08 12:28:11
36791449,4312,10200326,108.98342950712744,34.256046378253025,2025-08-08 12:30:18
36793819,4312,10200326,108.9834936655924,34.25637341641723,2025-08-08 12:32:27
36796253,4312,10200326,108.9823730985932,34.257006120912706,2025-08-08 12:34:35
36798653,4312,10200326,108.98065938807876,34.25660783394482,2025-08-08 12:36:43
36801057,4312,10200326,108.98015585790236,34.256386163529456,2025-08-08 12:38:52
36803373,4312,10200326,108.98006160889436,34.25616079555711,2025-08-08 12:40:59
36806055,4312,10200326,108.9802917870569,34.256170264412866,2025-08-08 12:43:07
36809945,4312,10200326,108.9808709111561,34.256208199889464,2025-08-08 12:45:16
36810861,4312,10200326,108.98170417304796,34.256115244209454,2025-08-08 12:47:24
36812939,4312,10200326,108.98217298872974,34.25624401904263,2025-08-08 12:49:32
36815669,4312,10200326,108.98271575326456,34.25656560677203,2025-08-08 12:51:40
36818071,4312,10200326,108.98325992762318,34.25592993682393,2025-08-08 12:53:48
36820475,4312,10200326,108.9837212059837,34.255545029380336,2025-08-08 12:55:56
36822824,4312,10200326,108.9836732334705,34.256393197613136,2025-08-08 12:58:04
36825281,4312,10200326,108.9829820172584,34.25600229999055,2025-08-08 13:00:12
36827350,4312,10200326,108.981196692008,34.25596103614691,2025-08-08 13:02:20
36830278,4312,10200326,108.98081979474966,34.257485861828435,2025-08-08 13:04:29
36833919,4312,10200326,108.98076882187314,34.25754357740175,2025-08-08 13:06:38
36835080,4312,10200326,108.9808449299777,34.25823708945171,2025-08-08 13:08:46
36837480,4312,10200326,108.980478933996,34.258240481361874,2025-08-08 13:10:54
36839879,4312,10200326,108.97915333201762,34.25869710639236,2025-08-08 13:13:02
36842274,4312,10200326,108.98036025250649,34.25870155475496,2025-08-08 13:15:10
36844685,4312,10200326,108.98069747926831,34.25845603276188,2025-08-08 13:17:18
36846996,4312,10200326,108.98089915380602,34.25895525799739,2025-08-08 13:19:26
36849491,4312,10200326,108.9802181365133,34.25966271877808,2025-08-08 13:21:34
36853376,4312,10200326,108.98177554849792,34.25909790851476,2025-08-08 13:23:42
